http://arrl.org/fcc-license-counts
Alabama	67	5438		3169	532	2886	12092
Alaska	15	1568		883	147	661	3274
Arizona	111	11082		5125	996	4567	21881
Arkansas	39	4095		1963	308	1615	8020
California	648	58664		19481	3419	15491	97703
Colorado	90	10615		4539	704	3753	19701
Connecticut	120	3124		1885	386	1683	7198
Delaware	20	769		508	86	417	1800
District of Columbia	4	259		114	20	117	514
Florida	434	18265		11827	2519	9971	43016
Georgia	110	8774		4966	831	4116	18797
Guam	1	104		50	8	101	264
Hawaii	29	2015		771	146	685	3646
Idaho	28	6488		2528	245	1623	10912
Illinois	258	8568		5281	1003	4390	19500
Indiana	168	7226		4145	717	3178	15434
Iowa	55	2986		1688	401	1496	6626
Kansas	70	3383		1930	286	1531	7200
Kentucky	72	4563		2550	405	2029	9619
Louisiana	59	2631		1685	334	1359	6068
Maine	38	1847		1268	212	1108	4473
Maryland	99	4765		2810	541	2662	10877
Massachusetts	147	5734		3487	656	3271	13295
Michigan	176	9770		5340	980	4673	20939
Minnesota	107	5278		2970	596	2506	11457
Mississippi	23	2162		1356	223	1258	5022
Missouri	98	7500		3869	631	3087	15185
Montana	27	2244		1176	172	819	4438
Nebraska	28	1695		1039	221	756	3739
Nevada	37	4504		1892	315	1526	8274
New Hampshire	52	2432		1497	262	1481	5724
New Jersey	196	5938		3215	705	3067	13121
New Mexico	27	3244		1473	269	1331	6344
New York	397	11831		6798	1361	5927	26314
North Carolina	144	10299		5868	1015	5143	22469
North Dakota	10	745		417	63	301	1536
Ohio	317	12233		7398	1287	6104	27339
Oklahoma	44	4993		2528	374	1984	9923
Oregon	100	11203		4953	700	3587	20543
Pennsylvania	276	10641		6357	1289	5576	24139
Puerto Rico	99	2948		1190	170	707	5114
Rhode Island	21	835		485	88	460	1889
South Carolina	59	4699		2724	468	2368	10318
South Dakota	16	891		598	116	486	2107
Tennessee	111	9290		5188	808	4364	19761
Texas	293	26607		13310	2284	11231	53725
Utah	35	12744		3270	305	2143	18497
Vermont	14	968		516	102	494	2094
Virgin Islands		118		71	10	53	252
Virginia	179	9419		5337	935	4804	20674
Washington	185	18736		8141	1129	5715	33906
West Virginia	41	3043		1449	212	1240	5985
Wisconsin	93	4791		3210	560	2556	11210
Wyoming	10	1012		648	112	472	2254
Other*	1	285		93	7	200	586
